id,nome,email,telefone,cep,data_nascimento,genero,cep,logradouro,complemento,unidade,bairro,localidade,uf,estado,regiao,ibge,gia,ddd,siafi,erro
49.0,Michele Souza,michele.souza@email.com,41945676543.0,80100-320,1993-01-01,Feminino,25010-080,Rua Mariano Sendra dos Santos,,,Centro,Duque de Caxias,RJ,Rio de Janeiro,Sudeste,3301702,,21,5833,
50.0,Anderson Melo,anderson.melo@email.com,51956776543.0,90100-120,1986-08-08,Masculino,30200-011,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,true
,,,,,,,80080-320,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,true
,,,,,,,90080-120,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,true
,,,,,,,10010-060,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,true
,,,,,,,26010-080,Rua Natal,,,Vila Santo Antônio,Nova Iguaçu,RJ,Rio de Janeiro,Sudeste,3303500,,21,5869,
,,,,,,,30210-011,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,true
,,,,,,,80090-110,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,true
,,,,,,,90090-140,Rua Nossa Senhora da Boa Viagem,(Ilha da Pintada),,Arquipélago,Porto Alegre,RS,Rio Grande do Sul,Sul,4314902,,51,8801,
,,,,,,,11001-100,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,true
,,,,,,,27010-080,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,true
,,,,,,,30220-011,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,true
,,,,,,,80100-320,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,true
,,,,,,,90100-120,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,true
